param n_caps := 26;

param n_unitats := 5;

param ctrl := -1;

param si_unitats :
  0 1 2 3 4 :=
0 2 4 4 0 0 
1 0.5 3.5 6 0 0 
2 2 5 3 0 0 
3 5 3 2 0 0 
4 3 7 0 0 0 
5 3 7 0 0 0 
6 5 2 3 0 0 
7 6 4 0 0 0 
8 2 7 1 0 0 
9 0 5 5 0 0 
10 0 1 9 0 0 
11 0 3 5 2 0 
12 0 0.5 2.5 7 0 
13 0 0 0 5 5 
14 0 0 0 3 7 
15 0 1 0 5 4 
16 0 0 5 5 0 
17 0 0 1 4.5 4.5 
18 0 0 1 9 0 
19 0 4 2 4 0 
20 1 0 0 1 8 
21 2.5 2.5 0 2.5 2.5 
22 1 0 0 4 5 
23 2 4 4 0 0 
24 0 2 0 0 8 
25 2 0 1 3 4 
;

param no_unitats :
  0 1 2 3 4 :=
0 3 3 3 0 0 
1 7 2 1 0 0 
2 5 2 3 0 0 
3 2 3 5 0 0 
4 0 0 4.5 5.5 0 
5 7 3 0 0 0 
6 2 4 4 0 0 
7 0 2 8 0 0 
8 1 0 2 7 0 
9 9 0 0 1 0 
10 9 0 0 1 0 
11 10 0 0 0 0 
12 6 0.5 0 0 3.5 
13 5 5 0 0 0 
14 5 3 2 0 0 
15 4 1 5 0 0 
16 9 1 0 0 0 
17 9 1 0 0 0 
18 4 3 0 0 3 
19 8 0 1 0 1 
20 0 3 7 0 0 
21 0.5 0.5 8 0.5 0.5 
22 1 5 4 0 0 
23 4 3 3 0 0 
24 3.3 0 3.3 3.3 0 
25 2 5 2 1 0 
;

param si_cocaps :
  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 :=
22 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 3 0 0 0 0 3 0 0 0 0 0 
23 2 0 1 1 0 0 2 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
24 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 2 1 0 0 0 2 
25 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 2 0 2 0 1 0 
;

param no_cocaps :
  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 :=
0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 
1 0 0 0 0 0 0 0 3 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 
2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 5 2 
3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 3 
4 0 0 0 0 0 0 0 0 0 3.5 0 3.5 0 0 2.5 0 0 0 0 0 0 0 0 0 0.2 0.3 
5 0 0 0 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 
6 0 0 0 0 0 0 4 0 0 0 2 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 
7 0 0 0 0 0 0 0 0 0 0 0 3.3 0 0 0 0 3.3 0 3.3 0 0 0 0 0 0 0 
8 0 0 0 0 0 0 0 2 0 2.5 0 3.5 0 0 2 0 0 0 0 0 0 0 0 0 0 0 
9 4 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
10 0 0 0 0 0 0 0 0 0 2 0 3 0 0 2 1.5 0 1.5 0 0 0 0 0 0 0 0 
11 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 2.5 0 0 0 0 1 1.5 
12 0.5 0 0 0 1 0 0 1 0 2.5 0 0 0 0 0 0 0 0 0 1 0 0 0.5 0 2.5 1 
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 
14 0 0 0 0 0 0 1 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 
15 0 0 0 0 3 0 0 4 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
16 0 0 0 0 0 0 0 0.5 0 3.25 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3.25 0 
17 2 0 2 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 
18 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 
19 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 
20 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 
22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
23 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 
24 0 0 0 0 3 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 
25 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
;

param pes :=
0 0.96
1 0.45
2 0.8
3 0.75
4 0.65
5 0.75
6 0.7
7 0.65
8 0.75
9 0.7
10 0.5
11 0.9
12 0.58
13 0.85
14 0.35
15 0.6
16 0.6
17 0.8
18 0.5
19 0.75
20 0.2
21 0.6
22 0.5
23 0.9
24 0.25
25 0.6
;

param noia :=
0 1
1 0
2 1
3 1
4 0
5 0
6 1
7 1
8 0
9 0
10 0
11 1
12 1
13 1
14 1
15 0
16 0
17 0
18 0
19 1
20 0
21 0
22 1
23 1
24 0
25 1
;

param musica :=
0 3
1 3
2 0
3 3
4 0
5 0
6 3
7 0
8 5
9 1
10 4
11 0
12 3
13 1
14 0
15 1
16 5
17 2
18 3
19 1
20 1
21 0
22 2
23 2
24 2
25 3
;

param muntanya :=
0 2
1 3
2 3
3 3
4 3
5 4
6 3
7 1
8 3
9 0
10 5
11 3
12 3
13 2
14 2
15 5
16 4
17 5
18 3
19 3
20 5
21 4
22 2
23 4
24 4
25 3
;

param cotxe :=
0 0
1 0
2 0
3 0
4 0
5 1
6 0
7 0
8 1
9 0
10 1
11 0
12 1
13 1
14 1
15 0
16 0
17 0
18 0
19 0
20 0
21 1
22 0
23 0
24 0
25 0
;

param carnet :=
0 1
1 0
2 1
3 1
4 1
5 2
6 1
7 0
8 1
9 0
10 1
11 1
12 1
13 1
14 1
15 2
16 1
17 0
18 2
19 1
20 1
21 1
22 1
23 0
24 1
25 1
;

param min_musica :=
0 0
1 0
2 0
3 0
4 0
;

param min_muntanya :=
0 0
1 0
2 0
3 0
4 0
;

param min_cotxe :=
0 0
1 0
2 0
3 0
4 0
;

param min_carnet :=
0 0
1 0
2 0
3 0
4 0
;

param min_director :=
0 0
1 0
2 0
3 0
4 0
;

param y :
  0 1 2 3 4 :=
0 0 0 0 0 0 
1 0 0 0 0 0 
2 0 0 0 0 0 
3 0 0 0 0 0 
4 0 0 1 0 0 
5 0 1 0 0 0 
6 1 0 0 0 0 
7 1 0 0 0 0 
8 1 0 0 0 0 
9 0 1 0 0 0 
10 0 0 1 0 0 
11 0 1 0 0 0 
12 0 0 1 0 0 
13 0 0 1 0 0 
14 0 1 0 0 0 
15 0 0 1 0 0 
16 1 0 0 0 0 
17 0 0 1 0 0 
18 1 0 0 0 0 
19 0 1 0 0 0 
20 0 0 0 1 0 
21 0 0 0 1 0 
22 0 0 0 1 0 
23 0 0 0 0 0 
24 0 0 0 0 1 
25 0 0 0 1 0 
;

param relleu :=
0 0
1 0
2 0
3 0
4 0
;

param max_caps :=
0 7
1 6
2 5
3 5
4 4
;

param min_caps :=
0 6
1 4
2 4
3 4
4 2
;

